Size,Insert_Min,Insert_Max,Insert_Avg,Search_Min,Search_Max,Search_Avg
1,0,0,0.0,5000,5000,5000.0
5,7,8,7.2,11094,14396,13098.6
50,212,224,217.8,28181,29302,28834.6
100,533,540,535.0,33852,34680,34292.4
200,1259,1293,1275.8,38794,39752,39322.6
300,2066,2109,2091.0,41549,42394,42023.4
400,2930,2980,2952.6,43950,44542,44155.6
500,3827,3899,3862.8,45704,46175,45880.4
600,4762,4829,4779.0,47071,47441,47239.2
700,5722,5803,5750.2,48020,48488,48278.4
800,6670,6751,6717.8,48975,49566,49260.4
900,7649,7731,7696.2,49844,50229,50020.4
1000,8697,8798,8742.6,50700,51298,51013.8
1500,13909,14018,13959.4,53285,53878,53654.0
2000,19396,19464,19436.4,55795,56057,55926.6
2500,25094,25185,25154.4,57177,57649,57385.8
3000,30860,31084,30967.0,58518,58934,58747.8
3500,36860,37123,36979.0,59666,59872,59756.2
4000,42896,43203,43026.0,60611,61129,60784.6
4500,48929,49254,49144.6,61234,61834,61552.4
5000,55173,55656,55407.0,62107,62527,62274.8
7500,87299,87967,87614.4,64802,65187,64974.2
10000,120642,121205,120991.6,66785,67132,66951.0
20000,262195,263348,262634.8,71219,71760,71349.2
25000,335879,337028,336631.8,72139,72732,72464.0
30000,410714,412314,411481.4,73150,73388,73280.0
35000,487369,489994,488874.6,73746,74289,73993.6
40000,565162,566998,565686.8,74459,74732,74568.0
45000,641876,644219,643327.8,74657,74903,74814.8
50000,721459,723669,722791.2,75064,75470,75233.2
